Город,Средняя зарплата
Бар,1245706.0
Шотландия,1062675.0
Шри-Ланка,1050193.0
Айет,792364.0
Шахрисабз,674928.0
ЮАР,588361.0
Германия,417887.0
Дубляны,409405.0
Винники,409405.0
Моршин,409405.0
Жидачов,409405.0
Глиняны,409405.0
Добромиль,409405.0
Жолква,409405.0
Золочев (Львовская область),409405.0
Виноградное (Калмыкия),402734.0
Канада,401878.0
Австралия,375368.0
Швеция,363060.0
Япония,358400.0
Знаменский,355582.0
Финляндия,354798.0
Нигерия,349137.0
Словения,344824.0
Королевство Саудовская Аравия,333547.0
Липовец,296280.0
Барвиха  (Московская область),290000.0
Алжир,289315.0
Ирландия,288519.0
Великобритания,285894.0
Красноград,282080.0
Албания,278602.0
Мальта,259806.0
Швейцария,257800.0
Эльбрус (Кабардино-Балкария),257500.0
Франция,257320.0
Кипр,256952.0
Алат (Узбекистан),250701.0
Сингапур,250280.0
Ватутинки (Московская область),250000.0
Черногория,248251.0
Бангладеш,247544.0
Португалия,246357.0
Бельгия,243388.0
Городок (Львовская область),243102.0
Афганистан,241377.0
ОАЭ,239803.0
Болгария,239441.0
Австрия,239228.0
Ахалцихе,236606.0
Городок (Хмельницкая область),236354.0
Агсу,236305.0
Аджигабул,236305.0
Акстафа,236305.0
Старая Выжевка,236242.0
Устилуг,236242.0
Любешов,236242.0
Литин,236242.0
Локачи,236242.0
Ратно,236242.0
Межевая,236242.0
Маневичи,236242.0
Гнивань,236242.0
Кринички,236242.0
Гайсин,236242.0
Ильинцы,236242.0
Иваничи,236242.0
Магдалиновка,236242.0
Киверцы,236242.0
Крыжополь,236242.0
Казатин,236242.0
Верховцево,236242.0
Бершадь,236242.0
Андорра,233612.0
Дания,231826.0
Южная Корея,228939.0
Ангола,228606.0
Брянка (Красноярский край),225000.0
Венгрия,224978.0
Каменка-Бугская,223141.0
Эстония,223136.0
Бутово (Московская область),220000.0
Первомайский (Республика Коми),220000.0
Словакия,217724.0
Куба (Азербайджан),216263.0
Чехия,212154.0
Ильинский (Республика Карелия),210000.0
Сампур,210000.0
Багамские Острова,207691.0
Сербия,207578.0
США,204907.0
Польша,203074.0
Катар,201635.0
Путилково (Московская область),200000.0
Верхняя Маза (Ульяновская область),200000.0
Житное (Астраханская область),200000.0
Измайлово (Ульяновская область),200000.0
Агроном (Липецкая область),200000.0
Поти,197136.0
