Год,Средняя зарплата
2003,41304.95041859813
2004,42967.52186096714
2005,44939.20745186925
2006,41317.91754572798
2007,45320.81939492641
2008,48411.22144454465
2009,45407.14692060539
2010,44790.723356392715
2011,46443.02974292559
2012,47774.85300457145
2013,49623.567611896586
2014,47597.93151022769
2015,52417.18359244135
2016,55837.92153377208
2017,60533.958546877104
2018,65960.36958072272
2019,70062.39506391327
2020,73057.76205364605
2021,83522.05269432033
2022,92034.23016050844
2023,99166.40771569232
2024,109764.43906862769
